author_slug,date,url,post_text,note
anthony-pierri,,https://www.linkedin.com/posts/anthonypierri_productmarketing-startups-b2b-activity-7255223937880530944-ftrU,,Positioning / product marketing breakdown
finn-thormeier,2024-03-19,https://www.linkedin.com/posts/finnthormeier_if-i-was-hired-as-cmo-at-a-b2b-saas-doing-activity-7175825804264644608-emSg,,Day-1 founder-led demand gen program — the engine step by step
finn-thormeier,,https://www.linkedin.com/posts/finnthormeier_b2b-saas-demandgen-activity-7049999251975614464-5bod,,Founder branding / thought leadership angle
amelia-sordell,,https://www.linkedin.com/posts/ameliasordell_my-business-is-100-inbound-here-is-how-activity-6925002419986731008-zeb_,,100% inbound from a personal brand — how-to breakdown
sara-stella-lattanzio,,https://www.linkedin.com/posts/saralattanzio_linkedin-b2bmarketing-activity-7162789320884531201-l5dd,,LinkedIn + B2B marketing tactical post
richard-van-der-blom,,https://www.linkedin.com/posts/richardvanderblom_chapter-1-algorithm-insights-report-2025-activity-7322514599126130688-Q895,,Algorithm Insights Report 2025 — chapter 1 (data)
emily-kramer,,https://www.linkedin.com/posts/emilykramer_mkt1-newsletter-activity-6952674472080396288-8zBR,,The MKT1 Method — content principles & frameworks
anthony-pierri,2026-06-04,https://www.linkedin.com/posts/anthonypierri_people-overcomplicate-positioning-there-activity-7468383258863423488-Phf2,"People overcomplicate positioning. There are really just three strategies... Strategy 1: Position in a mature category against existing vendors You place yourself in an established category and argue why you're better than the competition. The upside: Customers already have budget for it, actively search for it, and don't need educating. The risk: Mature categories have big, entrenched players. Without serious differentiation and resources, you'll struggle to make the shortlist. Choose this if... • the category is large enough to meet your growth goals • you have the resources to compete head-to-head for the whole market • OR you're willing to focus an underserved subsegment Strategy 2: Take an existing (but small) category to a new audience You position in a known (but likely nascent) category and sell it to people who haven't heard of it yet. (E.g. Skrillex bringing Dubstep to the mainstream. DocuSign didn't invent e-signature, but they focused on selling it to companies that used paper. Dropbox didn't invent file sharing, but they popularized it.) The upside: • Less direct competition, more greenfield opportunity The risk: • You have to educate the market rather than waiting for inbound demand • You also inherit the category's reputation (for good or bad) Choose this if... • you believe the category will grow and you can become a leader as it solidifies • you have the marketing patience to play the long game Strategy 3: Create your own category You refuse to fit into anyone else's box and seek to build a new one. The upside: You get full control to define both the problem and solution framing. The risks: • you need to pick the right-sized problem (too broad and it's unbelievable) • first movers rarely win (Airbnb beat Vrbo, Google beat AltaVista), and large incumbents may simply copy your blueprint once you've proven the market, as Microsoft did to Slack. Choose this if... • you genuinely believe any existing category label would hurt more than help • you're prepared to invest years building awareness from scratch If you need help with your positioning, shoot me a DM and mention this post.",Formato insignia — framework numerado (3 estrategias) con criterios 'choose this if' y CTA suave por DM. Plantilla de post educativo guardable.
anthony-pierri,2026-06-03,https://www.linkedin.com/posts/anthonypierri_i-ranked-five-y-combinator-startup-homepages-activity-7467936879464783872-nsQk,"I ranked five Y Combinator startup homepages(Spoiler: they are not great 🥴) My criteria with each was simple: - Is it clear what the product is and does? - Is it clear what the product should be compared to? - Is it clear why the product is better than it's alternative? Then in a very vibe-based way, I translated the answers to those questions (or lack thereof) to a score out of 5.1) Paloma — 2/5I could not find this company's LinkedIn page, further cementing my guess that they are not relying on marketing whatsoever to gain new business (and instead relying on personal network/intros, etc.) It is nearly impossible to market ""custom software development for anyone,"" so you're left growing the business via people you know personally. Not the most scalable method (unless you're Peter Thiel and your company is Palantir 🤷🏻‍♂️) 2) Uplift AI — 4.5/5Honestly, I could have given them 5/5. Clear, articulate, differentiated strategy through and through.3) Burnt — 3/5This company has such an amazing opportunity to create an incredibly differentiated positioning, but instead they are resorting to the most generic pitch possible (things like ""eliminate manual work and scale without adding headcount.""). Two ways to make this INSTANTLY 10x better would be to either say ""why our AI agents are better than the other off-the-shelf generic ones"" (and they have a really good specialization to make this argument just SING). Or secondly, they could assume that their audience really does not know the first thing about AI agents, and then they could lead with extremely tangible ways the agents could improve these food distributors' lives. A few use cases would make a WORLD of a difference. 4) Avent (YC S25)- 3/5The same exact improvements could be made for Avent that I suggested for Burnt. For people with low knowledge of AI agents, their arguments are not nearly specific or tangible enough to make it clear how their agents would improve their lives. For people with high knowledge of AI agents, their arguments are not differentiated enough of what makes them different or better than the off the shelf ones from the big players.5) Outrove (YC S25) - 3/5I'm guessing this company got the (BAD!) advice that ""nobody cares about your product! Just talk about outcomes you drive!"" However, they are in a space where there are MANY products that people use every day. And so they need to immediately explain at a capability level how their product is different — not just in the outcomes, but in the MECHANISM. Because when you read their homepage, it is not clear what product they would replace or even if they are doing anything different or new. Since they are backed by Y Combinator, I think I can assume they ARE doing something very unique and different. But you'd just be hard pressed to find what that is with the current page!Okay, let me know if you think this video format is interesting. Do you want to see more of these?","Teardown puntuando homepages reales 0-5; usa formato video; cierra con pregunta de engagement. Contenido oportuno, opinado e interactivo."
anthony-pierri,2026-05-07,https://www.linkedin.com/posts/anthonypierri_ai-companies-are-your-prospects-asking-activity-7458172886483189760-6kmU,"AI COMPANIES:Are your prospects asking ""why should we use AI?""Or are they asking ""why should we use YOUR AI?""There are two ways to message AI agent products:1) Assume your audience doesn't know what they are and isn't evaluating them, and you need to explain why they are worth looking intoThis makes sense in more immature ends of the market: legacy industries, highly regulated, slower moving industries, etc. There are still large portions of the enterprise that haven't jumped into the agent-adding frenzy. There are also individuals who are highly skeptical of AI as a concept (even if their only experience has been chatbots). They likely haven't gone deep into agents, and would need an explanation of what they are. This approach can be summed up in two words: WHY AI?If you're going after this more immature market segment, you need to answer WHY should someone adopt this new category they aren't familiar with? An example from Notion: ""Notion agents capture knowledge, answer questions, and push projects forward — all while you sleep."" This definition assumes someone doesn't know what AI agents are or how they work. This definition could apply to every other agent on the market. So it only makes sense for an audience that isn't aware of those other agents. But what if your audience DOES know about agents? Then you have approach number 2: 2) Assume your audience knows what agents are and is actively evaluating them or even using themThis other end of the market is more mature.They likely HAVE agents — or are on the verge of getting them. If you want to win this group, you don't have to explain WHY AI... they already know the why. Now you need to answer... why OUR ai? (I.e. what would make our AI different/better than the other ones being evaluated.) An example is Octonomy. They say: ""The best AI platform for complex knowledge. 95% accuracy. No hallucinations."" They are trying to show their differentiation against other AI agent vendors. Because they assume their audience IS mature, and knows the other agents exist. So they are trying to answer the question: ""why should you choose OUR agents over the other ones you're evaluating.""----------------If you're an AI company, think about your target market. Where are they in terms of adoption? And then evaluate your own homepage: Are you answering their core question?Or are you talking past them?","Framework de messaging de dos opciones (why AI vs why YOUR AI) con ejemplos nombrados (Notion, Octonomy). Convierte un concepto de positioning en post estructurado."
anthony-pierri,2026-05-04,https://www.linkedin.com/posts/anthonypierri_your-product-managers-may-be-silently-destroying-activity-7457088895650910208-a6AL,"Your Product Managers may be silently destroying your ability to go-to-market effectively.Marty Cagan popularized the concept of four risks when creating a new product or feature: 1) value(will they buy it?)2) usability(can they use it?)3) feasibility(can we build it?)4) business viability(should we build it?)The fourth risk is often calculated... WITHOUT considering the impact on the product's existing positioning. Just because a MARKET for a feature exists, doesn't mean that your company can COMPETE in this market. So you can falsely come to the conclusion that a feature/feature-set passes the ""viability"" test, when in reality your business has no ability to win in that new market.But I find most product roadmap discussions miss this foundational truth all together! Nobody even realizes that supporting new use cases means entering completely new markets!Every use case has: → its own competitive alternatives→ its own required value framing→ its own demanded proof pointsJust because you CAN quickly spin up a new feature that solves a new use case... doesn't mean you SHOULD.And even though the product team SHOULD be highly connected to the GTM side of the business, it's just often not the case (especially in much larger orgs).",POV contrarian que liga positioning con producto (4 riesgos de Marty Cagan). Hook fuerte + 'casi nadie ve esto': enseñar provocando.
adam-robinson,2026-06-11,https://www.linkedin.com/posts/retentionadam_im-tired-tired-tired-of-data-companies-activity-7470870334712217600-vpxm,"I'M TIRED, TIRED, TIRED OF DATA COMPANIES BENDING STARTUPS OVER BACKWARDS TO SCREW US ON CONTACT DATA. We've bought every vendor under the sun, expensive, cheap, seats, no seats, and every time we switch it STILL feels too expensive. The standard price of contact data is $99 per 5,000 credits. MoltSets is $27/mo for UNLIMITED CONTACT DATA. Yes, MoltSets will eventually destroy ZoomInfo and Apollo. YOU: I bet your data quality is shit. ME: TEST OUR DATA COVERAGE AND ACCURACY. It will be just as good as what you're using. We have to be good to serve RB2B. It was built by me, Tate, and the former president of Apollo/VP product and growth at ZoomInfo. Don't believe me, test it! YOU: Why are you pricing it so cheap? How can you run a profitable business that way? ME: I'M LITERALLY SELLING SAWDUST. We are using the data team and data asset (very profitably) in 3 other business lines. YOU: Why are you yelling at me? ME: BECAUSE MOLTSETS AT $27/MO UNLIMITED IS FUCKING INSANE. YOU: Aren't you worried about someone stealing your whole database? ME: Not really. This is a distribution play. If someone stole our database (and I'm sure they will), they will violate TOS (which they will not care about), stop paying us $27/mo (who cares), and then try to do what?!?! Go up against my founder brand, our UGC, and our internal validation engine to acquire customers how?!?!? I think 5x5 already commoditized B2B data, so I want to sell high quality data at a throwaway price and watch an explosion of vibe-coded apps like we've never seen. Imagine what you can build when contact data is (nearly) free! Join the MoltSets wait list here. Over 2,000 people have already signed up. Beta starts soon.",Formato auto-entrevista / manejo de objeciones (YOU:/ME:) con hook emocional en mayúsculas. Enmarca un lanzamiento como 'distribution play'. Ejemplo de post promocional que igual entretiene y enseña.
